it-comes-at-night,0.768055
spinning-plates,0.625393
bella,0.602725
terminator-salvation,0.590329
shin-godzilla-godzilla-resurgence,0.552461
dead-alive,0.549261
transformers,0.51151
the-edge-of-heaven,0.501418
the-witch,0.495738
wiener-dog,0.495346
free-willy,0.48904
stir-of-echoes,0.474304
take-the-lead,0.468346
the-secret-world-of-arrietty,0.465867
transformers-the-last-knight,0.462217
contracted,0.457443
brighton-rock,0.445404
american-sniper,0.438
american-gangster,0.433908
hellion,0.430758
the-darkness,0.426623
secrets-lies,0.425392
stray-dogs,0.424436
dolphin-tale,0.419522
the-kids-are-all-right,0.402594
time-to-leave,0.402426
masculine-feminine-re-release,0.389773
dheepan,0.389696
ninja-assassin,0.383581
baby-mama,0.377838
hauntinginconnecticut,0.376588
cinderella-man,0.374674
the-manchurian-candidate,0.372341
gunner-palace,0.37144
saawariya,0.370094
eastern-promises,0.368192
red,0.367858
tunnel,0.366893
sweeney-todd-the-demon-barber-of-fleet-street,0.364757
definitely-maybe,0.363181
two-lovers,0.357377
the-german-doctor,0.356269
the-overnight,0.356149
hunt-for-the-wilderpeople,0.352481
the-armstrong-lie,0.35227
notorious,0.351232
the-odd-life-of-timothy-green,0.350859
simon-the-oaks,0.350174
the-unknown-woman,0.349563
grace-unplugged,0.348895
